filename,partition,semantic_label,numeric_label
00000.jpg,train,Documentary,2
00001.jpg,train,Animation,1
00002.jpg,train,Animation,1
00003.jpg,train,Documentary,2
00004.jpg,train,Animation,1
00005.jpg,train,Animation,1
00006.jpg,train,Action,0
00007.jpg,train,Romance,4
00008.jpg,train,Action,0
00009.jpg,train,Documentary,2
00010.jpg,train,Horror,3
00011.jpg,train,Romance,4
00012.jpg,train,Animation,1
00013.jpg,train,Documentary,2
00014.jpg,train,Romance,4
00015.jpg,train,Horror,3
00016.jpg,train,Documentary,2
00017.jpg,train,Action,0
00018.jpg,train,Horror,3
00019.jpg,train,Romance,4
00020.jpg,train,Romance,4
00021.jpg,train,Horror,3
00022.jpg,train,Documentary,2
00023.jpg,train,Action,0
00024.jpg,train,Animation,1
00025.jpg,train,Animation,1
00026.jpg,train,Documentary,2
00027.jpg,train,Animation,1
00028.jpg,train,Documentary,2
00029.jpg,train,Horror,3
00030.jpg,train,Horror,3
00031.jpg,train,Romance,4
00032.jpg,train,Romance,4
00033.jpg,train,Animation,1
00034.jpg,train,Documentary,2
00035.jpg,train,Animation,1
00036.jpg,train,Animation,1
00037.jpg,train,Animation,1
00038.jpg,train,Animation,1
00039.jpg,train,Documentary,2
00040.jpg,train,Romance,4
00041.jpg,train,Documentary,2
00042.jpg,train,Romance,4
00043.jpg,train,Horror,3
00044.jpg,train,Documentary,2
00045.jpg,train,Documentary,2
00046.jpg,train,Romance,4
00047.jpg,train,Animation,1
00048.jpg,train,Horror,3
00049.jpg,train,Action,0
00050.jpg,train,Romance,4
00051.jpg,train,Romance,4
00052.jpg,train,Romance,4
00053.jpg,train,Horror,3
00054.jpg,train,Action,0
00055.jpg,train,Documentary,2
00056.jpg,train,Horror,3
00057.jpg,train,Action,0
00058.jpg,train,Horror,3
00059.jpg,train,Romance,4
00060.jpg,train,Action,0
00061.jpg,train,Action,0
00062.jpg,train,Horror,3
00063.jpg,train,Horror,3
00064.jpg,train,Romance,4
00065.jpg,train,Action,0
00066.jpg,train,Documentary,2
00067.jpg,train,Action,0
00068.jpg,train,Documentary,2
00069.jpg,train,Animation,1
00070.jpg,train,Animation,1
00071.jpg,train,Romance,4
00072.jpg,train,Horror,3
00073.jpg,train,Romance,4
00074.jpg,train,Animation,1
00075.jpg,train,Romance,4
00076.jpg,train,Romance,4
00077.jpg,train,Horror,3
00078.jpg,train,Horror,3
00079.jpg,train,Romance,4
00080.jpg,train,Animation,1
00081.jpg,train,Animation,1
00082.jpg,train,Horror,3
00083.jpg,train,Action,0
00084.jpg,train,Action,0
00085.jpg,train,Romance,4
00086.jpg,train,Romance,4
00087.jpg,train,Action,0
00088.jpg,train,Documentary,2
00089.jpg,train,Horror,3
00090.jpg,train,Animation,1
00091.jpg,train,Animation,1
00092.jpg,train,Romance,4
00093.jpg,train,Romance,4
00094.jpg,train,Action,0
00095.jpg,train,Horror,3
00096.jpg,train,Action,0
00097.jpg,train,Horror,3
00098.jpg,train,Horror,3
00099.jpg,train,Documentary,2
00100.jpg,train,Romance,4
00101.jpg,train,Animation,1
00102.jpg,train,Horror,3
00103.jpg,train,Romance,4
00104.jpg,train,Documentary,2
00105.jpg,train,Animation,1
00106.jpg,train,Horror,3
00107.jpg,train,Romance,4
00108.jpg,train,Romance,4
00109.jpg,train,Documentary,2
00110.jpg,train,Horror,3
00111.jpg,train,Documentary,2
00112.jpg,train,Romance,4
00113.jpg,train,Documentary,2
00114.jpg,train,Romance,4
00115.jpg,train,Action,0
00116.jpg,train,Horror,3
00117.jpg,train,Horror,3
00118.jpg,train,Horror,3
00119.jpg,train,Documentary,2
00120.jpg,train,Animation,1
00121.jpg,train,Action,0
00122.jpg,train,Action,0
00123.jpg,train,Documentary,2
00124.jpg,train,Documentary,2
00125.jpg,train,Documentary,2
00126.jpg,train,Horror,3
00127.jpg,train,Horror,3
00128.jpg,train,Romance,4
00129.jpg,train,Action,0
00130.jpg,train,Documentary,2
00131.jpg,train,Animation,1
00132.jpg,train,Action,0
00133.jpg,train,Animation,1
00134.jpg,train,Documentary,2
00135.jpg,train,Horror,3
00136.jpg,train,Horror,3
00137.jpg,train,Romance,4
00138.jpg,train,Horror,3
00139.jpg,train,Action,0
00140.jpg,train,Documentary,2
00141.jpg,train,Action,0
00142.jpg,train,Horror,3
00143.jpg,train,Action,0
00144.jpg,train,Animation,1
00145.jpg,train,Horror,3
00146.jpg,train,Documentary,2
00147.jpg,train,Horror,3
00148.jpg,train,Romance,4
00149.jpg,train,Romance,4
00150.jpg,train,Animation,1
00151.jpg,train,Romance,4
00152.jpg,train,Horror,3
00153.jpg,train,Animation,1
00154.jpg,train,Animation,1
00155.jpg,train,Romance,4
00156.jpg,train,Animation,1
00157.jpg,train,Documentary,2
00158.jpg,train,Romance,4
00159.jpg,train,Documentary,2
00160.jpg,train,Romance,4
00161.jpg,train,Documentary,2
00162.jpg,train,Action,0
00163.jpg,train,Horror,3
00164.jpg,train,Horror,3
00165.jpg,train,Romance,4
00166.jpg,train,Action,0
00167.jpg,train,Documentary,2
00168.jpg,train,Action,0
00169.jpg,train,Romance,4
00170.jpg,train,Animation,1
00171.jpg,train,Romance,4
00172.jpg,train,Action,0
00173.jpg,train,Romance,4
00174.jpg,train,Animation,1
00175.jpg,train,Romance,4
00176.jpg,train,Documentary,2
00177.jpg,train,Documentary,2
00178.jpg,train,Animation,1
00179.jpg,train,Documentary,2
00180.jpg,train,Horror,3
00181.jpg,train,Romance,4
00182.jpg,train,Action,0
00183.jpg,train,Horror,3
00184.jpg,train,Horror,3
00185.jpg,train,Horror,3
00186.jpg,train,Documentary,2
00187.jpg,train,Horror,3
00188.jpg,train,Romance,4
00189.jpg,train,Documentary,2
00190.jpg,train,Romance,4
00191.jpg,train,Action,0
00192.jpg,train,Documentary,2
00193.jpg,train,Romance,4
00194.jpg,train,Action,0
00195.jpg,train,Animation,1
00196.jpg,train,Documentary,2
00197.jpg,train,Horror,3
00198.jpg,train,Documentary,2
00199.jpg,train,Romance,4
00200.jpg,train,Action,0
00201.jpg,train,Documentary,2
00202.jpg,train,Horror,3
00203.jpg,train,Action,0
00204.jpg,train,Action,0
00205.jpg,train,Animation,1
00206.jpg,train,Action,0
00207.jpg,train,Animation,1
00208.jpg,train,Documentary,2
00209.jpg,train,Documentary,2
00210.jpg,train,Animation,1
00211.jpg,train,Animation,1
00212.jpg,train,Documentary,2
00213.jpg,train,Action,0
00214.jpg,train,Horror,3
00215.jpg,train,Romance,4
00216.jpg,train,Action,0
00217.jpg,train,Action,0
00218.jpg,train,Romance,4
00219.jpg,train,Documentary,2
00220.jpg,train,Documentary,2
00221.jpg,train,Animation,1
00222.jpg,train,Animation,1
00223.jpg,train,Romance,4
00224.jpg,train,Documentary,2
00225.jpg,train,Horror,3
00226.jpg,train,Animation,1
00227.jpg,train,Romance,4
00228.jpg,train,Action,0
00229.jpg,train,Animation,1
